iteration,cost,wirecount,intersectioncount
459,3472691,13991,11529
460,3134043,12843,10404
461,3257769,13269,10815
462,3472079,13979,11527
463,3389611,13711,11253
464,3716501,14801,12339
465,3682487,14687,12226
466,3368235,13635,11182
467,3478101,14001,11547
468,3958509,15609,13143
469,3871217,15317,12853
470,3581653,14353,11891
471,3202085,13085,10630
472,3330605,13505,11057
473,2952241,12241,9800
474,3122617,12817,10366
475,3410073,13773,11321
476,4087035,16035,13570
477,2802351,11751,9302
478,3083493,12693,10236
479,3868205,15305,12843
480,3351083,13583,11125
481,4100279,16079,13614
482,3393527,13727,11266
483,3902519,15419,12957
484,3905833,15433,12968
485,3143679,12879,10436
486,3454319,13919,11468
487,2853215,11915,9471
488,3156931,12931,10480
489,4093053,16053,13590
490,3585567,14367,11904
491,4011483,15783,13319
492,3558779,14279,11815
493,4019311,15811,13345
494,3658109,14609,12145
495,3891085,15385,12919
496,4012991,15791,13324
497,3090405,12705,10259
498,3422415,13815,11362
499,3227977,13177,10716
500,3058801,12601,10154
501,3972353,15653,13189
502,3051889,12589,10131
503,3323997,13497,11035
504,2959161,12261,9823
505,4234827,16527,14061
506,3062721,12621,10167
507,3102759,12759,10300
508,3024799,12499,10041
509,3178003,13003,10550
510,2923059,12159,9703
511,3997919,15719,13274
512,3786937,15037,12573
513,4091247,16047,13584
514,3435055,13855,11404
515,3380279,13679,11222
516,3780309,15009,12551
517,3165361,12961,10508
518,3091609,12709,10263
519,3426335,13835,11375
520,3131041,12841,10394
521,3925697,15497,13034
522,3130753,12853,10393
523,3482925,14025,11563
524,3537707,14207,11745
525,3782121,15021,12557
526,3130735,12835,10393
527,4123455,16155,13691
528,3557571,14271,11811
529,3608443,14443,11980
530,3732449,14849,12392
531,3303221,13421,10966
532,3617473,14473,12010
533,3085301,12701,10242
534,3581049,14349,11889
535,3798971,15071,12613
536,3280053,13353,10889
537,3729439,14839,12382
538,3370337,13637,11189
539,2801753,11753,9300
540,3174701,13001,10539
541,3601823,14423,11958
542,3431443,13843,11392
543,3376071,13671,11208
544,3699045,14745,12281
545,3573827,14327,11865
546,3537711,14211,11745
547,3568997,14297,11849
548,3711683,14783,12323
549,3789043,15043,12580
550,3312849,13449,10998
551,3080779,12679,10227
552,3052795,12595,10134
553,3911549,15449,12987
554,3799579,15079,12615
555,4468097,17297,14836
556,3365523,13623,11173
557,3099431,12731,10289
558,3740583,14883,12419
559,3348369,13569,11116
560,3317673,13473,11014
561,4065361,15961,13498
562,3578643,14343,11881
563,3788143,15043,12577
564,3233095,13195,10733
565,4121953,16153,13686
566,3522353,14153,11694
567,3521447,14147,11691
568,3528977,14177,11716
569,3208099,13099,10650
570,3250849,13249,10792
571,3301111,13411,10959
572,3509115,14115,11650
573,3137067,12867,10414
574,3960915,15615,13151
575,2752675,11575,9137
576,3229783,13183,10722
577,3461547,13947,11492
578,4303153,16753,14288
579,3796567,15067,12605
580,3829977,15177,12716
581,2873691,11991,9539
582,3929011,15511,13045
583,3693919,14719,12264
584,4067471,15971,13505
585,3990111,15711,13248
586,3509107,14107,11650
587,3293291,13391,10933
588,3552155,14255,11793
589,3741181,14881,12421
590,3500081,14081,11620
591,3623781,14481,12031
592,3786335,15035,12571
593,3116589,12789,10346
594,3763157,14957,12494
595,3271311,13311,10860
596,3496473,14073,11608
597,3333329,13529,11066
598,3247235,13235,10780
599,3435057,13857,11404
600,3106671,12771,10313
601,3300515,13415,10957
602,3351985,13585,11128
603,3775497,14997,12535
604,3780309,15009,12551
605,3641845,14545,12091
606,4224891,16491,14028
607,3499461,14061,11618
608,3773085,14985,12527
609,3922685,15485,13024
610,3394131,13731,11268
611,3570209,14309,11853
612,3513619,14119,11665
613,2832439,11839,9402
614,3385391,13691,11239
615,3726137,14837,12371
616,2949539,12239,9791
617,3848943,15243,12779
618,3230979,13179,10726
619,3651781,14581,12124
620,4418135,17135,14670
621,3314961,13461,11005
622,3846831,15231,12772
623,3761049,14949,12487
624,3441387,13887,11425
625,3686705,14705,12240
626,3136463,12863,10412
627,3746897,14897,12440
628,3267403,13303,10847
629,3597003,14403,11942
630,3804095,15095,12630
631,3676757,14657,12207
632,3894089,15389,12929
633,3833893,15193,12729
634,4150547,16247,13781
635,3472065,13965,11527
636,3292983,13383,10932
637,3274627,13327,10871
638,3600313,14413,11953
639,3466969,13969,11510
640,3670745,14645,12187
641,2935093,12193,9743
642,3152087,12887,10464
643,3227057,13157,10713
644,3934129,15529,13062
645,3637335,14535,12076
646,3364627,13627,11170
647,4127663,16163,13705
648,3436567,13867,11409
649,4294121,16721,14258
650,3853151,15251,12793
651,3279737,13337,10888
652,3953993,15593,13128
653,3114803,12803,10340
654,3722523,14823,12359
655,3851651,15251,12788
656,3581337,14337,11890
657,3323689,13489,11034
658,3196973,13073,10613
659,3409181,13781,11318
660,3585259,14359,11903
661,3251723,13223,10795
662,3693027,14727,12261
663,3869413,15313,12847
664,3602721,14421,11961
665,3244525,13225,10771
666,3710175,14775,12318
667,3430549,13849,11389
668,3759843,14943,12483
669,3132843,12843,10400
670,3858271,15271,12810
671,3279739,13339,10888
672,3024193,12493,10039
673,3230071,13171,10723
674,3495263,14063,11604
675,3349873,13573,11121
