iteration,cost,wirecount,intersectioncount
851,68364,564,226
852,17916,216,59
853,57210,510,189
854,7406,206,24
855,18246,246,60
856,14968,268,49
857,15322,322,50
858,5842,142,19
859,14256,156,47
860,40034,434,132
861,27346,346,90
862,40330,430,133
863,19798,298,65
864,60218,518,199
865,12174,174,40
866,35502,402,117
867,8592,192,28
868,16568,368,54
869,20378,278,67
870,41540,440,137
871,16716,216,55
872,46652,452,154
873,57788,488,191
874,33058,358,109
875,26748,348,88
876,17346,246,57
877,22154,254,73
878,40946,446,135
879,7094,194,23
880,22246,346,73
881,4302,102,14
882,11034,234,36
883,22176,276,73
884,31568,368,104
885,41814,414,138
886,32192,392,106
887,13998,198,46
888,51170,470,169
889,95802,702,317
890,20342,242,67
891,19512,312,64
892,29746,346,98
893,3732,132,12
894,46642,442,154
895,8684,284,28
896,11916,216,39
897,33430,430,110
898,102740,740,340
899,71698,598,237
900,39142,442,129
901,67162,562,222
902,26164,364,86
903,38538,438,127
904,82854,654,274
905,14404,304,47
906,32766,366,108
907,3428,128,11
908,52382,482,173
909,27656,356,91
910,33120,420,109
911,9790,190,32
912,30700,400,101
913,17714,314,58
914,10412,212,34
915,46684,484,154
916,38552,452,127
917,20116,316,66
918,51196,496,169
919,14060,260,46
920,13478,278,44
921,9806,206,32
922,54804,504,181
923,16204,304,53
924,25504,304,84
925,41804,404,138
926,37002,402,122
927,43984,484,145
928,48474,474,160
929,67768,568,224
930,29092,292,96
931,7114,214,23
932,14328,228,47
933,16798,298,55
934,15028,328,49
935,18532,232,61
936,12280,280,40
937,47294,494,156
938,39144,444,129
939,7668,168,25
940,23728,328,78
941,37030,430,122
942,4930,130,16
943,35206,406,116
944,26402,302,87
945,42392,392,140
946,35184,384,116
947,37626,426,124
948,17392,292,57
949,8854,154,29
950,17366,266,57
951,28246,346,93
952,15828,228,52
953,22178,278,73
954,43046,446,142
955,34904,404,115
956,6746,146,22
957,47876,476,158
958,77112,612,255
959,30334,334,100
960,4060,160,13
961,7722,222,25
962,20314,214,67
963,123490,790,409
964,25256,356,83
965,19808,308,65
966,6154,154,20
967,10408,208,34
968,44268,468,146
969,14030,230,46
970,12238,238,40
971,22270,370,73
972,19526,326,64
973,11332,232,37
974,16426,226,54
975,24660,360,81
976,30934,334,102
977,58428,528,193
978,37326,426,123
979,65678,578,217
980,14664,264,48
981,11566,166,38
982,40300,400,133
983,47644,544,157
984,25508,308,84
985,14670,270,48
986,67482,582,223
987,96386,686,319
988,101230,730,335
989,16446,246,54
990,10044,144,33
991,36402,402,120
992,22224,324,73
993,37250,350,123
994,39158,458,129
995,55122,522,182
996,38802,402,128
997,19178,278,63
998,13468,268,44
999,17046,246,56
1000,6168,168,20
1001,24962,362,82
1002,23388,288,77
1003,22526,326,74
1004,41256,456,136
1005,36412,412,120
1006,16818,318,55
1007,79798,598,264
1008,25532,332,84
1009,15578,278,51
1010,44236,436,146
1011,11686,286,38
1012,20664,264,68
1013,20728,328,68
1014,37318,418,123
1015,11576,176,38
1016,25904,404,85
1017,25204,304,83
1018,18816,216,62
1019,39108,408,129
1020,10356,156,34
1021,59934,534,198
1022,14074,274,46
1023,11066,266,36
1024,36980,380,122
1025,48186,486,159
1026,14050,250,46
1027,18848,248,62
1028,11082,282,36
1029,28912,412,95
1030,14966,266,49
1031,33950,350,112
1032,20986,286,69
1033,42784,484,141
1034,33114,414,109
1035,48204,504,159
1036,30900,300,102
1037,65350,550,216
1038,12276,276,40
1039,20368,268,67
1040,24356,356,80
1041,46058,458,152
1042,31000,400,102
1043,52976,476,175
1044,19504,304,64
1045,13404,204,44
1046,31864,364,105
1047,14046,246,46
1048,62662,562,207
1049,69906,606,231
1050,24624,324,81
1051,10092,192,33
1052,7712,212,25
1053,34586,386,114
1054,13734,234,45
1055,51222,522,169
1056,27610,310,91
1057,51230,530,169
1058,39118,418,129
1059,56032,532,185
1060,22828,328,75
1061,33058,358,109
1062,19540,340,64
1063,24644,344,81
1064,23736,336,78
1065,30426,426,100
1066,6146,146,20
1067,55056,456,182
1068,8644,244,28
1069,49686,486,164
1070,28234,334,93
1071,52410,510,173
1072,18252,252,60
1073,26764,364,88
1074,28236,336,93
1075,39108,408,129
1076,48144,444,159
1077,14054,254,46
1078,20740,340,68
1079,26738,338,88
1080,26426,326,87
1081,29806,406,98
1082,16128,228,53
1083,92462,662,306
1084,20400,300,67
1085,17086,286,56
1086,42182,482,139
1087,26726,326,88
1088,30296,296,100
1089,57848,548,191
1090,19162,262,63
1091,23782,382,78
1092,8632,232,28
1093,37020,420,122
1094,59944,544,198
1095,5214,114,17
1096,64454,554,213
1097,20064,264,66
1098,8326,226,27
1099,32784,384,108
1100,82234,634,272
1101,27398,398,90
1102,9528,228,31
1103,4364,164,14
1104,24290,290,80
1105,6484,184,21
1106,15908,308,52
1107,28296,396,93
1108,6494,194,21
1109,9494,194,31
1110,16756,256,55
1111,51174,474,169
1112,22852,352,75
1113,14372,272,47
1114,6496,196,21
1115,23730,330,78
1116,12594,294,41
1117,30654,354,101
1118,16506,306,54
1119,52706,506,174
1120,3812,212,12
1121,20670,270,68
1122,57526,526,190
1123,24924,324,82
1124,19792,292,65
1125,21968,368,72
1126,13118,218,43
1127,16506,306,54
1128,67788,588,224
1129,47850,450,158
1130,17992,292,59
1131,30650,350,101
1132,3154,154,10
1133,15808,208,52
1134,59612,512,197
1135,29182,382,96
1136,49980,480,165
1137,38784,384,128
1138,26768,368,88
1139,11890,190,39
1140,25248,348,83
1141,13738,238,45
1142,14350,250,47
1143,8004,204,26
1144,16492,292,54
1145,34914,414,115
1146,65380,580,216
1147,31316,416,103
1148,8620,220,28
1149,12790,190,42
1150,10750,250,35
1151,13742,242,45
1152,71098,598,235
1153,31572,372,104
1154,21670,370,71
1155,14606,206,48
1156,24042,342,79
1157,15886,286,52
1158,23384,284,77
1159,34286,386,113
1160,40960,460,135
1161,50896,496,168
1162,15580,280,51
1163,29782,382,98
1164,27640,340,91
1165,54502,502,180
1166,61770,570,204
1167,21578,278,71
1168,22180,280,73
1169,23138,338,76
1170,29820,420,98
1171,21620,320,71
1172,41868,468,138
1173,33078,378,109
1174,33096,396,109
1175,18016,316,59
1176,27646,346,91
1177,74112,612,245
1178,12856,256,42
1179,24372,372,80
1180,12860,260,42
1181,25238,338,83
1182,5882,182,19
1183,36718,418,121
1184,68380,580,226
1185,21338,338,70
1186,45788,488,151
1187,30698,398,101
1188,20396,296,67
1189,52702,502,174
1190,25294,394,83
1191,72878,578,241
1192,14968,268,49
1193,21952,352,72
1194,60514,514,200
1195,21970,370,72
1196,24650,350,81
1197,4588,88,15
1198,43090,490,142
1199,14610,210,48
1200,8276,176,27
1201,17988,288,59
1202,51484,484,170
1203,39078,378,129
1204,35802,402,118
1205,6544,244,21
1206,5796,96,19
1207,17714,314,58
1208,55112,512,182
1209,57542,542,190
1210,19180,280,63
1211,18046,346,59
1212,40942,442,135
1213,36728,428,121
1214,25284,384,83
1215,10690,190,35
1216,75608,608,250
1217,28282,382,93
1218,10178,278,33
1219,69010,610,228
1220,63228,528,209
1221,63270,570,209
1222,10736,236,35
1223,2174,74,7
1224,9226,226,30
1225,84064,664,278
1226,15906,306,52
1227,35178,378,116
1228,2522,122,8
1229,9504,204,31
1230,30678,378,101
1231,4322,122,14
1232,17418,318,57
1233,15530,230,51
1234,26704,304,88
1235,7596,96,25
1236,11308,208,37
1237,19528,328,64
1238,14030,230,46
1239,31574,374,104
1240,29770,370,98
1241,46294,394,153
1242,33138,438,109
1243,4920,120,16
1244,56306,506,186
1245,21636,336,71
1246,18576,276,61
1247,26148,348,86
1248,26148,348,86
1249,13718,218,45
1250,33060,360,109
1251,57508,508,190
1252,3812,212,12
1253,39744,444,131
1254,34000,400,112
1255,26068,268,86
1256,20744,344,68
1257,41572,472,137
1258,35530,430,117
1259,75302,602,249
1260,67480,580,223
1261,28872,372,95
1262,19814,314,65
1263,36778,478,121
1264,12250,250,40
1265,34540,340,114
1266,12218,218,40
1267,27714,414,91
1268,11960,260,39
1269,30022,322,99
1270,82846,646,274
1271,41570,470,137
1272,5582,182,18
1273,34610,410,114
1274,13720,220,45
1275,56628,528,187
1276,31040,440,102
1277,24906,306,82
1278,49354,454,163
1279,16800,300,55
1280,60548,548,200
1281,21334,334,70
1282,40030,430,132
1283,47844,444,158
1284,15300,300,50
1285,21576,276,71
1286,18920,320,62
1287,5882,182,19
1288,64782,582,214
1289,45782,482,151
1290,10476,276,34
1291,45478,478,150
1292,40682,482,134
1293,32770,370,108
1294,67434,534,223
1295,30084,384,99
1296,61152,552,202
1297,17074,274,56
1298,61138,538,202
1299,32484,384,107
1300,9800,200,32
1301,5278,178,17
1302,11612,212,38
1303,36088,388,119
1304,20092,292,66
1305,24660,360,81
1306,30954,354,102
1307,24372,372,80
1308,9160,160,30
1309,9230,230,30
1310,32154,354,106
1311,28214,314,93
1312,34598,398,114
1313,56340,540,186
1314,24622,322,81
1315,79522,622,263
1316,57504,504,190
1317,60146,446,199
1318,60230,530,199
1319,46960,460,155
1320,16804,304,55
1321,30404,404,100
1322,32798,398,108
1323,27052,352,89
1324,2776,76,9
1325,109046,746,361
1326,33968,368,112
1327,38844,444,128
1328,24650,350,81
1329,45742,442,151
1330,29470,370,97
1331,13116,216,43
1332,20714,314,68
1333,21608,308,71
1334,15544,244,51
1335,52112,512,172
1336,40942,442,135
1337,49038,438,162
1338,35200,400,116
1339,68672,572,227
1340,34576,376,114
1341,13754,254,45
1342,30406,406,100
1343,37970,470,125
1344,23122,322,76
1345,27020,320,89
1346,49074,474,162
1347,112078,778,371
1348,65644,544,217
1349,51166,466,169
1350,25812,312,85
1351,14666,266,48
1352,11926,226,39
1353,10414,214,34
1354,63868,568,211
1355,35796,396,118
1356,22822,322,75
1357,24882,282,82
1358,11338,238,37
